File Size GB,File Type,Root
sum,count,
0.0,5,D:\projects\ardom-1
0.0,18,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,12,D:\projects\ardom-1
0.0,13,D:\projects\ardom-1
0.0025,1,D:\projects\ardom-1
0.0,37,D:\projects\ardom-1
0.22530000000000003,92,D:\projects\ardom-1
0.0,9,D:\projects\ardom-1
0.07229999999999998,138,D:\projects\ardom-1
0.0,8,D:\projects\ardom-1
0.0,60,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0,9,D:\projects\ardom-1
0.0001,1,D:\projects\ardom-1
0.0009000000000000002,117,D:\projects\ardom-1
0.0,13,D:\projects\ardom-1
0.0,16,D:\projects\ardom-1
0.0,10,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0004,2,D:\projects\ardom-1
0.0,8,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0011000000000000003,11,D:\projects\ardom-1
0.0,12,D:\projects\ardom-1
0.012299999999999985,124,D:\projects\ardom-1
0.0,16,D:\projects\ardom-1
0.0,8,D:\projects\ardom-1
0.3032,2,D:\projects\ardom-1
0.0014999999999999998,5,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.00030000000000000003,72,D:\projects\ardom-1
0.0013,1,D:\projects\ardom-1
0.0,5,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,24,D:\projects\ardom-1
0.05320000000000034,6621,D:\projects\ardom-1
0.03579999999999998,6348,D:\projects\ardom-1
0.0888000000000002,263,D:\projects\ardom-1
0.007500000000000001,51,D:\projects\ardom-1
0.0,5,D:\projects\ardom-1
0.0,8,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,2,D:\projects\ardom-1
0.0,11,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,16,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,10,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0004,134,D:\projects\ardom-1
0.0,4,D:\projects\ardom-1
0.0,3,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,5,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0,1,D:\projects\ardom-1
0.0001,1,D:\projects\ardom-1
0.1292,3,D:\projects\ardom-1
