,,,File Size GB,File Type,Root
,,,sum,count,
Sub-Root,Year,File Type,,,
,2020,.exe,0.0553,1,D:\projects\ardom-1
,2020,.idx,0.0004,2,D:\projects\ardom-1
,2020,.md,0.0,1,D:\projects\ardom-1
,2020,.pack,0.3032,2,D:\projects\ardom-1
,2020,.sample,0.0,11,D:\projects\ardom-1
,2020,.txt,0.0,1,D:\projects\ardom-1
,2020,.zip,0.1292,3,D:\projects\ardom-1
0-docker-toolbox,2020,.md,0.0,1,D:\projects\ardom-1
1-poc-wxpython-image,2020,.dockerfile,0.0,4,D:\projects\ardom-1
1-poc-wxpython-image,2020,.md,0.0,1,D:\projects\ardom-1
1-poc-wxpython-image,2020,.py,0.0,3,D:\projects\ardom-1
1-poc-wxpython-image,2020,.sh,0.0,2,D:\projects\ardom-1
2-measure-docker-resource-consumption,2020,.sh,0.0,1,D:\projects\ardom-1
3-ssh-from-docker-to-host,2020,.bat,0.0,1,D:\projects\ardom-1
3-ssh-from-docker-to-host,2020,.dockerfile,0.0,1,D:\projects\ardom-1
3-ssh-from-docker-to-host,2020,.py,0.0,1,D:\projects\ardom-1
3-ssh-from-docker-to-host,2020,.sh,0.0,6,D:\projects\ardom-1
4-firefox-executor,2020,.dockerfile,0.0,1,D:\projects\ardom-1
4-firefox-executor,2020,.sh,0.0,2,D:\projects\ardom-1
5-python-virtual-env,2020,.bat,0.0,11,D:\projects\ardom-1
5-python-virtual-env,2020,.c,0.0,6,D:\projects\ardom-1
5-python-virtual-env,2020,.cfg,0.0,7,D:\projects\ardom-1
5-python-virtual-env,2020,.csv,0.0,16,D:\projects\ardom-1
5-python-virtual-env,2020,.dll,0.12420000000000007,55,D:\projects\ardom-1
5-python-virtual-env,2020,.exe,0.010699999999999994,87,D:\projects\ardom-1
5-python-virtual-env,2020,.f,0.0,4,D:\projects\ardom-1
5-python-virtual-env,2020,.f90,0.0,30,D:\projects\ardom-1
5-python-virtual-env,2020,.fish,0.0,1,D:\projects\ardom-1
5-python-virtual-env,2020,.fits,0.0,2,D:\projects\ardom-1
5-python-virtual-env,2020,.h,0.0005,57,D:\projects\ardom-1
5-python-virtual-env,2020,.html,0.0,2,D:\projects\ardom-1
5-python-virtual-env,2020,.ico,0.0,6,D:\projects\ardom-1
5-python-virtual-env,2020,.idl,0.0,2,D:\projects\ardom-1
5-python-virtual-env,2020,.ini,0.0,4,D:\projects\ardom-1
5-python-virtual-env,2020,.lib,0.0004,4,D:\projects\ardom-1
5-python-virtual-env,2020,.md,0.0,5,D:\projects\ardom-1
5-python-virtual-env,2020,.mo,0.008300000000000004,83,D:\projects\ardom-1
5-python-virtual-env,2020,.npy,0.0,8,D:\projects\ardom-1
5-python-virtual-env,2020,.npz,0.0,4,D:\projects\ardom-1
5-python-virtual-env,2020,.pem,0.0009,3,D:\projects\ardom-1
5-python-virtual-env,2020,.pkl,0.0,2,D:\projects\ardom-1
5-python-virtual-env,2020,.png,0.0002,48,D:\projects\ardom-1
5-python-virtual-env,2020,.ps1,0.0,3,D:\projects\ardom-1
5-python-virtual-env,2020,.pth,0.0,1,D:\projects\ardom-1
5-python-virtual-env,2020,.pxd,0.0,12,D:\projects\ardom-1
5-python-virtual-env,2020,.py,0.027399999999999935,3005,D:\projects\ardom-1
5-python-virtual-env,2020,.pyc,0.017799999999999965,2737,D:\projects\ardom-1
5-python-virtual-env,2020,.pyd,0.0455,110,D:\projects\ardom-1
5-python-virtual-env,2020,.pyi,0.005,34,D:\projects\ardom-1
5-python-virtual-env,2020,.pyx,0.0,4,D:\projects\ardom-1
5-python-virtual-env,2020,.tlb,0.0,2,D:\projects\ardom-1
5-python-virtual-env,2020,.tmpl,0.0,6,D:\projects\ardom-1
5-python-virtual-env,2020,.txt,0.0002,63,D:\projects\ardom-1
5-python-virtual-env,2020,.virtualenv,0.0,3,D:\projects\ardom-1
5-python-virtual-env,2020,.xml,0.0,3,D:\projects\ardom-1
5-python-virtual-env,2020,.xsh,0.0,1,D:\projects\ardom-1
file_crawler_project,2009,.py,0.0,3,D:\projects\ardom-1
file_crawler_project,2009,.txt,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.asp,0.0,5,D:\projects\ardom-1
file_crawler_project,2020,.bat,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.bmp,0.0,3,D:\projects\ardom-1
file_crawler_project,2020,.c,0.0,3,D:\projects\ardom-1
file_crawler_project,2020,.cfg,0.0,4,D:\projects\ardom-1
file_crawler_project,2020,.chm,0.0025,1,D:\projects\ardom-1
file_crawler_project,2020,.csv,0.0,13,D:\projects\ardom-1
file_crawler_project,2020,.dll,0.0316,10,D:\projects\ardom-1
file_crawler_project,2020,.exe,0.002500000000000001,20,D:\projects\ardom-1
file_crawler_project,2020,.f,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.f90,0.0,15,D:\projects\ardom-1
file_crawler_project,2020,.fits,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.gif,0.0,9,D:\projects\ardom-1
file_crawler_project,2020,.gz,0.0001,1,D:\projects\ardom-1
file_crawler_project,2020,.h,0.0002,32,D:\projects\ardom-1
file_crawler_project,2020,.htm,0.0,13,D:\projects\ardom-1
file_crawler_project,2020,.html,0.0,13,D:\projects\ardom-1
file_crawler_project,2020,.ico,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.idl,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.ini,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.js,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.json,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.lib,0.0005,5,D:\projects\ardom-1
file_crawler_project,2020,.md,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.npy,0.0,4,D:\projects\ardom-1
file_crawler_project,2020,.npz,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.pem,0.0003,1,D:\projects\ardom-1
file_crawler_project,2020,.pkl,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.ps1,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.pth,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.pxd,0.0,6,D:\projects\ardom-1
file_crawler_project,2020,.py,0.01389999999999998,2370,D:\projects\ardom-1
file_crawler_project,2020,.pyc,0.009300000000000001,2373,D:\projects\ardom-1
file_crawler_project,2020,.pyd,0.019999999999999983,111,D:\projects\ardom-1
file_crawler_project,2020,.pys,0.0,5,D:\projects\ardom-1
file_crawler_project,2020,.pyx,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.rc,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.rst,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.sct,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.tab,0.0,3,D:\projects\ardom-1
file_crawler_project,2020,.tmpl,0.0,2,D:\projects\ardom-1
file_crawler_project,2020,.tpl,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.txt,0.0001,41,D:\projects\ardom-1
file_crawler_project,2020,.vbs,0.0,3,D:\projects\ardom-1
file_crawler_project,2020,.xlsx,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.xml,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.xsl,0.0,1,D:\projects\ardom-1
file_crawler_project,2020,.zi,0.0001,1,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.bat,0.0,4,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.c,0.0,3,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.cfg,0.0,2,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.csv,0.0,8,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.dll,0.06950000000000002,27,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.exe,0.003799999999999999,30,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.f,0.0,2,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.f90,0.0,15,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.fits,0.0,1,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.h,0.0002,28,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.html,0.0,1,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.ico,0.0,3,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.idl,0.0,1,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.ini,0.0,2,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.lib,0.0002,2,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.md,0.0,3,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.mo,0.003999999999999998,41,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.npy,0.0,4,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.npz,0.0,2,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.pem,0.0003,1,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.pkl,0.0,1,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.png,0.0001,24,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.pptx,0.0013,1,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.ps1,0.0,1,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.pxd,0.0,6,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.py,0.011899999999999987,1239,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.pyc,0.008699999999999996,1238,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.pyd,0.023299999999999998,42,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.pyi,0.0025,17,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.pyx,0.0,2,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.tlb,0.0,1,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.tmpl,0.0,2,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.txt,0.0001,28,D:\projects\ardom-1
simple_gui_ardom_integration,2020,.vbs,0.0,1,D:\projects\ardom-1
