Sub-Root,Size On Disk GB,Logical Size GB,Count,Root
,0.0004,0.0004,3,D:\projects\ardom-1
.git,0.35719999999999996,0.35719999999999996,17,D:\projects\ardom-1
.vscode,0.0004,0.0004,4,D:\projects\ardom-1
0-docker-toolbox,0.0004,0.0004,2,D:\projects\ardom-1
1-poc-wxpython-image,0.0004,0.0004,11,D:\projects\ardom-1
2-measure-docker-resource-consumption,0.0004,0.0004,2,D:\projects\ardom-1
3-ssh-from-docker-to-host,0.0004,0.0004,10,D:\projects\ardom-1
4-firefox-executor,0.0004,0.0004,4,D:\projects\ardom-1
5-python-virtual-env,0.24209999999999784,0.2410999999999979,6431,D:\projects\ardom-1
file_crawler_project,0.08290000000000064,0.08220000000000063,5163,D:\projects\ardom-1
interprocess_communication_python,0.0,0.0,14,D:\projects\ardom-1
simple_gui_ardom_integration,0.12650000000000067,0.1259000000000007,2784,D:\projects\ardom-1
sql_functions,0.0,0.0,8,D:\projects\ardom-1
tests,0.0,0.0,7,D:\projects\ardom-1
wxpython-test-image,0.0,0.0,1,D:\projects\ardom-1
בדיקה,0.0,0.0,1,D:\projects\ardom-1
